,host_verifications,host_response_rate,host_acceptance_rate,host_is_superhost,latitude,longitude,accommodates,amenities,minimum_nights,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,host_number_of_years,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,closeness_to_landmark,closeness_to_subway
1,4,100,94,1,42.32844,-71.09581,2,30,3,1.0,0.4,0.4,0.5111111111111111,0.12602739726027398,107,4.77,4.87,4.89,4.95,4.89,4.52,4.78,0,145,12.4,0,0,0,1,1,0,0,0,1.5915116336540258,0.6422857292687876
2,4,100,94,1,42.32802,-71.09387,4,30,3,0.0,0.26666666666666666,0.26666666666666666,0.34444444444444444,0.29863013698630136,115,4.79,4.81,4.86,4.9,4.95,4.48,4.7,0,169,12.4,0,0,0,1,1,0,0,0,1.6394170073732357,0.6739761114020787
3,8,100,66,1,42.35906,-71.06271,2,30,91,1.0,0.0,0.0,0.0,0.7178082191780822,32,4.78,4.78,4.52,4.96,4.92,4.96,4.43,0,76,11.98082191780822,0,1,0,0,1,0,0,0,0.15179305499904394,0.28338000845257466
4,8,99,14,1,42.35061,-71.08787,3,24,29,1.0,0.0,0.43333333333333335,0.6222222222222222,0.9068493150684932,5,5.0,5.0,4.75,5.0,5.0,5.0,4.75,0,106,11.827397260273973,0,0,1,0,1,0,0,0,0.7698125021663513,1.1411235098571224
8,5,85,97,0,42.32212,-71.06096,7,30,30,3.0,0.0,0.0,0.0,0.6054794520547945,52,4.3,4.51,4.72,4.55,4.47,4.27,4.47,1,111,11.484931506849316,0,1,0,0,1,0,0,0,3.0324393254703126,0.774707827575876
10,4,100,100,0,42.37754,-71.06642,2,27,2,1.0,0.0,0.0,0.06666666666666667,0.12054794520547946,94,4.96,4.95,4.98,5.0,4.97,4.79,4.96,0,226,11.156164383561643,0,0,1,0,1,0,0,0,1.1105110955004516,0.9993246399469111
11,5,100,89,1,42.31347,-71.11082,2,53,7,1.0,0.0,0.15,0.1111111111111111,0.6410958904109589,80,4.97,4.95,5.0,4.97,4.94,4.91,4.94,0,85,10.986301369863014,0,0,1,0,0,0,1,0,3.10703351495628,0.818568375144906
12,6,100,100,1,42.37424,-71.06081,3,12,29,0.0,0.9,0.95,0.9666666666666667,0.42191780821917807,130,4.63,4.66,4.76,4.73,4.68,4.81,4.49,0,125,10.906849315068493,0,1,0,0,1,0,0,0,0.8312660839105216,0.9479512362079286
13,4,100,75,1,42.32546,-71.08894,1,20,7,1.0,0.43333333333333335,0.2833333333333333,0.5222222222222223,0.3041095890410959,141,4.73,4.65,4.58,4.86,4.91,4.13,4.62,0,80,10.772602739726027,0,0,0,1,0,0,1,0,1.9184371595948098,0.9516687618613618
14,8,100,66,1,42.35689,-71.06206,3,24,91,1.0,0.0,0.23333333333333334,0.15555555555555556,0.6493150684931507,45,4.82,4.84,4.68,4.91,4.93,4.98,4.82,0,93,11.98082191780822,0,1,0,0,1,0,0,0,0.14010887815509387,0.17093325936242373
15,4,100,75,1,42.32546,-71.08894,3,22,28,2.0,0.0,0.0,0.0,0.2054794520547945,120,4.75,4.78,4.6,4.88,4.96,4.22,4.66,0,100,10.772602739726027,0,0,0,1,1,0,0,0,1.9184371595948098,0.9516687618613618
16,3,100,17,0,42.37865,-71.06373,2,10,2,1.0,0.0,0.23333333333333334,0.4777777777777778,0.8657534246575342,54,4.35,4.59,4.39,4.45,4.58,4.77,4.38,0,140,10.372602739726027,0,1,0,0,0,0,1,0,1.173013058574473,1.1239285461614295
17,4,100,94,1,42.32806,-71.09423,6,33,3,3.0,0.16666666666666666,0.31666666666666665,0.5111111111111111,0.35342465753424657,228,4.65,4.83,4.83,4.86,4.87,4.38,4.65,0,275,12.4,0,0,0,1,1,0,0,0,1.633331753217793,0.6655749893973657
18,5,100,100,0,42.37739,-71.06199,6,39,91,4.0,1.0,1.0,1.0,0.30684931506849317,108,4.79,4.91,4.89,4.94,4.93,4.62,4.75,0,199,9.96986301369863,0,0,0,1,1,0,0,0,1.0637364122782789,1.1519142220549183
19,4,67,73,0,42.30953,-71.0706,4,11,7,2.0,0.0,0.0,0.1,0.26575342465753427,72,4.53,4.68,4.44,4.85,4.71,3.78,4.49,0,40,9.98904109589041,0,1,0,0,1,0,0,0,3.4543008453641626,1.4618561319760808
20,9,100,89,1,42.31331,-71.12061,1,41,30,1.0,0.0,0.31666666666666665,0.2111111111111111,0.10684931506849316,49,4.96,4.94,4.96,5.0,4.98,4.87,4.91,0,60,9.92054794520548,0,0,1,0,0,0,1,0,3.519044304835485,1.3255236034768667
21,4,100,100,1,42.31533,-71.11025,2,47,4,1.0,0.06666666666666667,0.13333333333333333,0.18888888888888888,0.04657534246575343,405,4.86,4.91,4.9,4.96,4.96,4.9,4.8,1,138,9.92054794520548,0,0,0,1,1,0,0,0,2.9394801234600467,0.7622249531724259
22,6,100,91,1,42.31685,-71.10867,2,38,3,1.0,0.1,0.11666666666666667,0.08888888888888889,0.5287671232876713,213,4.86,4.91,4.85,4.96,4.95,4.9,4.8,0,93,9.876712328767123,0,0,1,0,1,0,0,0,2.765430847021084,0.7129083293349925
23,7,100,100,1,42.36614,-71.05226,3,22,3,1.0,0.13333333333333333,0.5666666666666667,0.5777777777777777,0.14246575342465753,252,4.91,4.9,4.9,4.94,4.98,4.97,4.8,0,145,9.841095890410958,0,0,0,1,0,0,1,0,0.5700693209310848,0.6771590920868817
24,6,100,100,1,42.33255,-71.04125,4,48,2,2.0,0.13333333333333333,0.35,0.36666666666666664,0.5232876712328767,351,4.85,4.89,4.94,4.95,4.95,4.83,4.72,1,264,9.704109589041096,0,0,1,0,1,0,0,0,2.197287784286187,1.5262727929746942
25,4,97,92,0,42.33855,-71.07975,4,28,30,1.0,0.0,0.0,0.0,0.0,94,4.22,4.54,4.6,4.71,4.21,4.41,4.05,0,280,10.005479452054795,0,0,0,1,1,0,0,0,1.0483971469636253,0.7625064781790324
26,7,100,50,1,42.34232,-71.07594,2,37,28,1.0,0.0,0.0,0.0,0.136986301369863,409,4.81,4.79,4.79,4.92,4.95,4.94,4.74,0,90,9.468493150684932,0,0,1,0,1,0,0,0,0.814321490280247,0.8046733524684013
27,4,97,92,0,42.33811,-71.08139,2,28,29,1.0,0.0,0.0,0.0,0.0,111,4.4,4.68,4.78,4.79,4.66,4.51,4.42,0,200,10.005479452054795,0,0,0,1,1,0,0,0,1.0401026006701375,0.7160738035806903
29,6,100,64,0,42.31658,-71.11012,2,33,3,1.0,0.0,0.0,0.0,0.0,316,4.81,4.79,4.72,4.97,4.96,4.85,4.82,0,71,9.282191780821918,0,0,1,0,0,0,1,0,2.839964271555878,0.7676911567097521
33,5,85,97,0,42.31368,-71.0612,9,35,30,5.0,0.0,0.0,0.0,0.36712328767123287,67,4.4,4.67,4.4,4.8,4.59,4.54,4.59,1,179,11.484931506849316,0,1,0,0,1,0,0,0,3.4593442950207463,0.9307132420108282
34,5,85,97,0,42.32212,-71.06096,5,35,30,2.0,0.06666666666666667,0.05,0.03333333333333333,0.684931506849315,57,4.56,4.82,4.81,4.38,4.44,4.44,4.64,1,101,11.484931506849316,0,1,0,0,1,0,0,0,3.0324393254703126,0.774707827575876
35,5,85,97,0,42.31371,-71.06126,6,31,30,7.0,0.0,0.05,0.03333333333333333,0.6219178082191781,62,4.26,4.45,4.35,4.45,4.48,4.37,4.23,1,101,11.484931506849316,0,1,0,0,1,0,0,0,3.4554783791455574,0.9332466582557861
36,9,100,75,0,42.3036,-71.10539,4,32,1,2.0,0.1,0.23333333333333334,0.4,0.810958904109589,278,4.86,4.89,4.94,4.94,4.94,4.86,4.82,0,109,9.035616438356165,0,0,1,0,0,0,1,0,3.837825493826031,1.106512161316459
37,5,100,0,0,42.28834,-71.05505,4,29,3,2.0,0.9333333333333333,0.9666666666666667,0.9777777777777777,0.2410958904109589,94,4.85,4.83,4.92,4.97,4.97,4.53,4.77,0,225,9.947945205479453,0,1,0,0,0,0,1,0,5.617684980495367,1.0486538288947245
39,5,85,97,0,42.29192,-71.15407,6,29,30,5.0,0.03333333333333333,0.016666666666666666,0.12222222222222222,0.7835616438356164,38,4.55,4.61,4.74,4.55,4.39,4.53,4.42,1,85,11.484931506849316,0,1,0,0,1,0,0,0,6.91953197843587,4.429232976196147
43,6,100,75,1,42.37926,-71.06364,4,32,2,2.0,0.0,0.0,0.011111111111111112,0.6904109589041096,374,4.9,4.94,4.93,4.98,4.97,4.87,4.86,0,200,8.805479452054794,0,0,0,1,1,0,0,0,1.2283018258428289,1.1463601900919795
44,9,100,75,0,42.30702,-71.11283,8,35,29,5.0,0.4,0.38333333333333336,0.5,0.8356164383561644,70,4.84,4.76,4.72,4.99,4.97,4.64,4.48,0,571,9.035616438356165,0,0,1,0,1,0,0,0,3.7243860277760463,0.9510303968596309
45,3,43,0,0,42.29239,-71.13193,1,8,91,1.0,1.0,1.0,1.0,1.0,5,4.8,4.8,4.8,5.0,4.8,4.8,5.0,0,25,12.41095890410959,1,0,0,0,0,0,1,0,5.771821436600466,2.9592040848645818
48,7,100,92,1,42.3657,-71.05618,3,42,1,2.0,0.13333333333333333,0.5666666666666667,0.7111111111111111,0.3178082191780822,502,4.33,4.49,4.32,4.74,4.8,4.9,4.4,0,151,8.810958904109588,0,0,0,1,1,0,0,0,0.4903371506814917,0.45977123360668354
49,7,100,50,1,42.34232,-71.07594,4,37,28,2.0,0.0,0.0,0.0,0.0,418,4.87,4.92,4.91,4.93,4.95,4.96,4.84,0,243,9.468493150684932,0,0,1,0,1,0,0,0,0.814321490280247,0.8046733524684013
50,4,100,94,1,42.32795,-71.09412,4,30,3,1.0,0.26666666666666666,0.3,0.34444444444444444,0.29863013698630136,57,4.85,4.91,4.89,4.88,4.77,4.41,4.84,0,157,12.4,0,0,0,1,1,0,0,0,1.6454062198959645,0.6694650325842174
51,7,100,92,1,42.36695,-71.05601,3,45,1,2.0,0.23333333333333334,0.55,0.6111111111111112,0.2876712328767123,590,4.63,4.73,4.68,4.81,4.84,4.93,4.55,0,172,8.810958904109588,0,0,0,1,1,0,0,0,0.5755710605693802,0.5491320809077348
52,6,100,98,1,42.3558,-71.06104,4,35,6,2.0,0.0,0.0,0.0,0.01643835616438356,78,4.96,4.99,5.0,4.99,5.0,4.92,4.87,1,359,9.33972602739726,0,0,1,0,1,0,0,0,0.2527254202366098,0.08868935337305908
55,7,100,67,0,42.3451,-71.0715,5,49,3,2.0,0.0,0.0,0.044444444444444446,0.0136986301369863,10,5.0,5.0,4.8,5.0,5.0,5.0,4.9,0,425,10.03013698630137,0,0,0,1,1,0,0,0,0.8020925802645933,0.7570752106534097
56,8,100,93,0,42.3665,-71.05296,4,10,2,2.0,0.13333333333333333,0.15,0.1111111111111111,0.5671232876712329,449,4.67,4.83,4.81,4.82,4.83,4.9,4.7,0,145,8.487671232876712,0,1,0,0,1,0,0,0,0.5867009546643253,0.6655961243996616
57,9,100,100,1,42.29017,-71.13169,2,39,30,1.0,0.0,0.0,0.0,0.5260273972602739,61,4.85,4.92,4.78,4.92,4.93,4.77,4.87,0,90,8.482191780821918,0,0,1,0,0,0,1,0,5.963424337960155,3.1225865667794688
58,7,100,92,1,42.36541,-71.05404,2,47,1,1.0,0.2,0.5666666666666667,0.6888888888888889,0.3013698630136986,582,4.42,4.61,4.43,4.78,4.82,4.91,4.49,0,181,8.810958904109588,0,0,0,1,1,0,0,0,0.4747894221638527,0.5530386773865228
59,6,100,100,1,42.35888,-71.06032,4,37,91,2.0,1.0,1.0,1.0,1.0,60,4.76,4.78,4.88,4.68,4.82,4.8,4.65,1,257,9.408219178082192,0,0,0,1,1,0,0,0,0.14699433255039604,0.19213918437020128
60,6,100,96,1,42.34308,-71.07316,2,46,1,1.0,0.3333333333333333,0.31666666666666665,0.5333333333333333,0.34794520547945207,58,4.88,4.84,4.95,4.88,4.91,4.95,4.6,1,173,8.33972602739726,0,0,0,1,1,0,0,0,0.8519040826530652,0.8261328813929878
61,7,100,50,1,42.34232,-71.07595,2,36,29,1.0,0.0,0.0,0.0,0.26575342465753427,293,4.93,4.92,4.91,4.92,4.95,4.95,4.8,0,109,9.468493150684932,0,0,1,0,0,0,1,0,0.8140431839541192,0.8046065163301318
66,4,100,100,1,42.31653,-71.11049,2,31,2,1.0,0.0,0.0,0.0,0.0,327,4.82,4.88,4.89,4.95,4.94,4.89,4.8,0,94,9.92054794520548,0,0,0,1,1,0,0,0,2.858123947807274,0.7845031654293119
68,5,100,89,0,42.32031,-71.1129,8,36,2,6.0,0.06666666666666667,0.08333333333333333,0.23333333333333334,0.7205479452054795,78,4.73,4.83,4.71,4.84,4.77,4.64,4.59,0,448,9.558904109589042,0,0,1,0,1,0,0,0,2.6811071843714807,1.0387525799841268
69,6,0,0,0,42.30347,-71.06409,2,17,91,1.0,0.36666666666666664,0.6833333333333333,0.7888888888888889,0.947945205479452,194,4.46,4.62,4.49,4.79,4.8,4.38,4.59,0,38,8.216438356164383,1,0,0,0,0,0,1,0,4.071219245903791,0.9387085274787736
70,3,43,0,0,42.2941,-71.13141,1,9,91,1.0,0.0,0.0,0.0,0.2,8,4.13,4.5,4.88,4.88,4.63,4.38,4.38,0,26,12.41095890410959,1,0,0,0,0,0,1,0,5.596872299504106,2.8006779163160993
72,6,100,96,1,42.34294,-71.07304,2,45,1,1.0,0.06666666666666667,0.21666666666666667,0.34444444444444444,0.2876712328767123,58,4.82,4.9,4.91,4.88,4.91,4.96,4.6,0,193,8.33972602739726,0,0,0,1,1,0,0,0,0.8695501252514358,0.8343349565967207
74,4,100,75,1,42.32546,-71.08894,1,28,28,1.0,0.0,0.08333333333333333,0.3888888888888889,0.6520547945205479,41,4.8,4.85,4.56,4.92,4.87,4.15,4.67,0,68,10.772602739726027,0,0,0,1,0,0,1,0,1.9184371595948098,0.9516687618613618
75,4,100,75,1,42.32546,-71.08894,1,28,28,1.0,0.0,0.08333333333333333,0.23333333333333334,0.6602739726027397,38,4.87,4.84,4.63,4.97,4.92,4.29,4.68,0,70,10.772602739726027,0,0,0,1,0,0,1,0,1.9184371595948098,0.9516687618613618
76,4,100,75,1,42.32546,-71.08894,1,31,28,1.0,0.0,0.08333333333333333,0.07777777777777778,0.6027397260273972,19,5.0,4.68,4.47,4.89,4.84,4.26,4.63,0,75,10.772602739726027,0,0,0,1,0,0,1,0,1.9184371595948098,0.9516687618613618
77,4,100,95,0,42.34164,-71.07964,6,43,2,4.0,0.0,0.0,0.3111111111111111,0.07671232876712329,25,4.7,5.0,4.92,4.75,4.92,4.96,4.46,0,350,9.89041095890411,0,0,0,1,0,0,1,0,0.7903515229456327,0.6802037922172417
78,5,100,67,0,42.38017,-71.06236,1,60,29,1.0,0.1,0.55,0.7,0.4191780821917808,107,4.69,4.79,4.79,4.77,4.79,4.69,4.63,0,45,8.490410958904109,0,0,0,1,0,0,1,0,1.3132412475086543,1.2372234586464608
81,5,100,43,0,42.38324,-71.07852,2,27,2,1.0,0.0,0.0,0.0,0.0,40,4.9,4.9,4.95,4.97,4.95,4.67,4.79,0,109,10.202739726027398,0,0,0,1,1,0,0,0,2.0600148275136307,0.8715192026041516
82,5,100,100,1,42.37243,-71.06349,4,28,3,2.0,0.03333333333333333,0.2,0.23333333333333334,0.5260273972602739,19,4.95,4.89,5.0,4.95,5.0,5.0,4.95,0,350,8.016438356164384,0,0,0,1,1,0,0,0,0.7316795266962569,0.7785875807769852
83,7,100,96,1,42.34873,-71.15693,4,40,1,2.0,0.3333333333333333,0.36666666666666664,0.45555555555555555,0.5863013698630137,136,4.61,4.77,4.5,4.78,4.79,4.74,4.63,1,126,10.087671232876712,0,0,0,1,1,0,0,0,4.413195635878117,4.654139618795739
85,6,80,100,0,42.34988,-71.06918,7,46,29,3.0,0.03333333333333333,0.11666666666666667,0.4111111111111111,0.3287671232876712,141,4.98,4.99,4.93,4.95,4.99,4.95,4.86,1,225,10.282191780821918,0,1,0,0,1,0,0,0,0.6852533389521239,0.5447566047803538
86,5,100,94,1,42.33835,-71.0472,2,18,1,1.0,0.36666666666666664,0.3333333333333333,0.2222222222222222,0.0547945205479452,267,4.8,4.89,4.86,4.94,4.95,4.83,4.78,0,96,7.843835616438356,0,0,0,1,0,0,1,0,1.565053758120031,1.242491394263315
87,4,100,67,0,42.28132,-71.13377,1,34,29,1.0,0.0,0.0,0.0,0.0,37,4.81,4.81,4.78,4.86,4.97,4.76,4.78,0,58,7.83013698630137,0,0,1,0,0,0,1,0,6.872389140307758,3.9930646873626108
89,4,75,90,1,42.32382,-71.09641,4,26,30,2.0,0.7333333333333333,0.36666666666666664,0.36666666666666664,0.8438356164383561,232,4.84,4.91,4.89,4.87,4.79,4.53,4.79,0,150,7.821917808219178,0,1,0,0,1,0,0,0,1.9796406038298917,0.6759859070322001
90,4,100,71,1,42.31293,-71.11527,4,27,2,0.0,0.2,0.2833333333333333,0.36666666666666664,0.8054794520547945,217,4.88,4.91,4.95,4.93,4.94,4.91,4.82,0,145,7.832876712328767,0,1,0,0,1,0,0,0,3.3178803910512524,0.9942383473841734
93,6,100,100,1,42.29009,-71.05762,2,30,1,1.0,0.0,0.15,0.4111111111111111,0.673972602739726,129,4.87,4.93,4.7,4.98,5.0,4.63,4.77,0,60,7.794520547945205,0,0,0,1,0,0,1,0,5.379677082520961,0.8636015862747134
94,4,100,67,0,42.28127,-71.13304,2,34,29,1.0,0.03333333333333333,0.016666666666666666,0.011111111111111112,0.5972602739726027,39,4.79,4.92,4.71,4.89,4.97,4.66,4.76,0,69,7.83013698630137,0,0,1,0,0,0,1,0,6.850282063091508,3.9655121138644667
97,5,100,100,0,42.34981,-71.09476,1,24,91,1.0,0.9,0.95,0.9666666666666667,0.9917808219178083,2,4.0,4.5,3.0,3.5,4.5,5.0,3.5,0,265,7.7315068493150685,0,0,1,0,1,0,0,0,0.787851185871767,1.4654136590618172
99,5,100,95,1,42.29867,-71.1131,4,28,1,1.0,0.1,0.08333333333333333,0.1111111111111111,0.6383561643835617,560,4.8,4.88,4.85,4.93,4.89,4.7,4.81,0,142,9.334246575342465,0,0,1,0,1,0,0,0,4.504716781237532,1.6045302777895498
102,6,100,97,1,42.31465,-71.0624,2,40,2,2.0,0.0,0.43333333333333335,0.6,0.9013698630136986,144,4.66,4.72,4.67,4.87,4.85,4.56,4.65,0,140,7.676712328767123,0,0,0,1,0,0,1,0,3.3622287694831674,0.9767911871926773
104,6,100,100,0,42.34245,-71.15758,2,23,3,2.0,0.0,0.15,0.37777777777777777,0.5452054794520548,224,4.67,4.75,4.73,4.9,4.79,4.69,4.71,1,67,9.567123287671233,0,0,0,1,0,0,1,0,4.719903047807685,4.972235315938217
105,4,100,33,0,42.3358,-71.04948,6,35,1,4.0,0.9666666666666667,0.9833333333333333,0.9888888888888889,0.9972602739726028,8,4.88,5.0,4.75,5.0,5.0,4.88,4.5,0,650,7.641095890410959,0,0,1,0,1,0,0,0,1.8287764016551817,1.1403635479673053
106,4,100,33,0,42.33375,-71.04767,3,39,1,1.0,1.0,1.0,1.0,1.0,85,4.72,4.82,4.78,4.96,4.99,4.78,4.72,0,220,7.641095890410959,0,0,1,0,0,0,1,0,2.057123347968965,1.1889861615410082
108,5,100,100,1,42.35771,-71.06978,2,29,29,1.0,0.0,0.0,0.022222222222222223,0.4986301369863014,108,4.82,4.83,4.86,4.91,4.92,4.99,4.69,0,165,7.545205479452055,0,1,0,0,1,0,0,0,0.2966022729612262,0.5825149493192571
111,6,100,96,1,42.34303,-71.07305,2,45,3,1.0,0.23333333333333334,0.3333333333333333,0.5555555555555556,0.2,36,4.89,4.83,4.97,4.97,4.94,4.94,4.69,0,209,8.33972602739726,0,0,0,1,1,0,0,0,0.8614889596451333,0.8310312251817785
113,4,100,42,1,42.34125,-71.07604,4,17,33,0.0,0.1,0.06666666666666667,0.06666666666666667,0.7561643835616438,73,4.77,4.91,4.71,4.96,4.9,4.84,4.74,0,100,7.712328767123288,0,0,1,0,1,0,0,0,0.9181855735152692,0.8193243571490143
114,4,97,92,0,42.33662,-71.0753,2,27,28,1.0,0.0,0.0,0.0,0.1589041095890411,88,4.34,4.75,4.81,4.82,4.73,4.3,4.39,0,200,10.005479452054795,0,0,0,1,1,0,0,0,1.3677531961350506,1.0716963886907171
115,5,100,72,1,42.31146,-71.11947,2,29,2,2.0,0.13333333333333333,0.2,0.24444444444444444,0.2547945205479452,136,4.96,4.93,4.99,4.98,4.98,4.95,4.87,0,144,7.419178082191781,0,0,1,0,1,0,0,0,3.6085585182521025,1.2227513530115146
118,7,100,88,1,42.35702,-71.06168,2,31,91,1.0,0.0,0.0,0.0,0.15616438356164383,36,4.67,4.72,4.53,4.78,4.78,5.0,4.69,1,100,8.947945205479453,0,0,0,1,1,0,0,0,0.13468631861555913,0.16957115855310964
120,6,100,96,1,42.34309,-71.07316,2,46,2,1.0,0.43333333333333335,0.43333333333333335,0.5333333333333333,0.32602739726027397,33,4.82,4.91,4.97,4.94,4.91,5.0,4.44,1,179,8.33972602739726,0,0,0,1,1,0,0,0,0.8510633873194849,0.8258114805804516
121,7,100,100,1,42.34272,-71.15672,2,21,91,1.0,0.9666666666666667,0.6333333333333333,0.4222222222222222,0.6520547945205479,16,4.81,4.81,4.56,4.94,4.94,4.75,4.56,0,52,7.419178082191781,0,0,0,1,1,0,0,0,4.649246601709467,4.903403828989362
122,8,100,99,1,42.36597,-71.05271,6,28,29,0.0,0.0,0.43333333333333335,0.6,0.9013698630136986,145,4.56,4.69,4.5,4.76,4.6,4.95,4.51,0,169,8.312328767123288,0,0,0,1,1,0,0,0,0.5443627318660141,0.6477876933043608
124,4,0,100,0,42.34492,-71.08482,4,25,29,2.0,1.0,1.0,1.0,1.0,78,4.66,4.79,4.57,4.81,4.88,4.92,4.68,1,280,7.282191780821917,1,0,0,0,1,0,0,0,0.5615101020005135,0.7360647611560436
127,5,100,97,1,42.35902,-71.06296,4,21,180,2.0,0.0,0.18333333333333332,0.45555555555555555,0.8657534246575342,100,4.87,4.95,4.82,4.99,4.97,5.0,4.75,0,150,8.087671232876712,0,0,0,1,1,0,0,0,0.14907269749770785,0.2905814589865303
130,4,100,100,1,42.26043,-71.11766,8,42,2,4.0,0.0,0.08333333333333333,0.05555555555555555,0.0136986301369863,94,4.91,4.99,4.96,4.98,4.99,4.62,4.83,1,249,7.284931506849315,0,0,0,1,1,0,0,0,8.450342767364853,5.200415040860852
131,6,100,100,0,42.31018,-71.08543,5,41,28,3.0,1.0,1.0,1.0,1.0,14,4.08,4.25,4.33,4.67,4.5,3.0,3.92,0,500,7.213698630136986,0,0,1,0,1,0,0,0,3.1587493036521144,1.8060546224097505
133,5,80,27,0,42.23533,-71.13256,6,31,91,2.0,1.0,0.6333333333333333,0.4222222222222222,0.10410958904109589,33,4.45,4.53,4.48,4.82,4.97,4.39,4.61,0,89,7.131506849315069,0,1,0,0,1,0,0,0,11.387250832912255,8.027608439143124
134,3,96,38,1,42.28814,-71.06889,1,28,30,1.0,0.0,0.15,0.43333333333333335,0.8602739726027397,7,4.86,4.86,4.71,5.0,4.86,4.43,4.71,0,40,7.123287671232877,0,0,1,0,0,0,1,0,5.275255227690634,0.8333339165595722
135,4,100,29,0,42.28657,-71.13236,3,32,6,1.0,0.7,0.85,0.5888888888888889,0.2602739726027397,118,4.86,4.93,4.97,4.97,4.97,4.83,4.85,0,125,7.112328767123287,0,0,1,0,1,0,0,0,6.323086264868406,3.4598305582532283
136,6,100,97,1,42.31281,-71.06098,4,62,2,1.0,0.1,0.16666666666666666,0.26666666666666666,0.7726027397260274,204,4.5,4.64,4.5,4.81,4.83,4.58,4.51,1,123,7.676712328767123,0,0,0,1,1,0,0,0,3.5185165810623764,0.9551294799898582
137,5,60,100,0,42.35311,-71.08213,2,24,29,1.0,0.0,0.38333333333333336,0.25555555555555554,0.25205479452054796,252,4.28,4.44,4.47,4.51,4.34,4.93,4.35,1,175,9.693150684931506,0,1,0,0,1,0,0,0,0.5480463931108317,1.0234422224514157
139,6,100,92,1,42.32811,-71.09157,2,41,2,1.0,0.1,0.21666666666666667,0.4777777777777778,0.1178082191780822,242,4.95,4.98,4.97,4.99,4.99,4.6,4.84,0,113,7.501369863013698,0,0,0,1,0,0,1,0,1.6391861613848409,0.7491565302720196
140,6,100,97,1,42.31311,-71.06232,2,42,2,1.0,0.0,0.15,0.36666666666666664,0.8383561643835616,93,4.66,4.73,4.67,4.74,4.76,4.58,4.53,0,70,7.676712328767123,0,0,0,1,0,0,1,0,3.4544947181091423,1.022684727533677
142,6,100,0,1,42.31907,-71.09252,4,32,3,2.0,0.0,0.0,0.0,0.0,119,4.92,4.97,4.99,4.97,4.97,4.62,4.85,0,105,7.282191780821917,0,0,1,0,1,0,0,0,2.307194070935724,0.978953784970094
143,5,100,100,0,42.35564,-71.15746,8,50,3,3.0,0.0,0.0,0.0,0.0,48,4.96,4.96,4.83,5.0,4.98,4.8,4.89,0,210,8.197260273972603,0,0,0,1,1,0,0,0,4.229220463684331,4.257758964590231
146,6,100,100,1,42.35884,-71.06332,2,31,91,1.0,0.6,0.45,0.6333333333333333,0.9095890410958904,251,4.8,4.88,4.8,4.85,4.91,4.98,4.75,0,288,8.147945205479452,0,0,0,1,1,0,0,0,0.14092809486861685,0.3038749677250595
148,5,85,97,0,42.32213,-71.06094,6,29,30,3.0,0.0,0.0,0.1,0.7780821917808219,31,4.39,4.87,4.67,4.42,4.61,4.32,4.61,1,119,11.484931506849316,0,1,0,0,1,0,0,0,3.032439710765174,0.7733346235793579
150,8,100,86,1,42.28037,-71.13669,1,13,2,1.0,0.0,0.0,0.1,0.7780821917808219,31,4.87,5.0,4.86,5.0,5.0,4.66,4.79,0,50,7.326027397260274,0,0,0,1,0,0,1,0,7.073506977803541,4.212325423142972
151,6,90,11,0,42.32843,-71.09369,4,29,91,2.0,0.0,0.15,0.43333333333333335,0.8602739726027397,254,4.76,4.9,4.86,4.96,4.96,4.61,4.76,0,167,6.997260273972603,0,1,0,0,1,0,0,0,1.5976338658113578,0.6740045361247894
152,6,93,66,0,42.35242,-71.06356,3,44,29,2.0,1.0,1.0,1.0,1.0,9,4.56,4.67,4.67,4.78,4.67,4.44,4.56,0,314,7.747945205479452,0,0,1,0,1,0,0,0,0.5729617107435193,0.28022340216111
154,5,100,0,0,42.35583,-71.13166,2,31,29,1.0,0.0,0.16666666666666666,0.24444444444444444,0.8136986301369863,53,4.81,4.77,4.52,4.96,4.9,4.8,4.85,0,59,10.115068493150686,0,1,0,0,0,0,1,0,2.4954892704370026,2.7149923940664413
156,8,100,82,1,42.37358,-71.06309,7,39,32,5.0,0.9666666666666667,0.9833333333333333,0.9888888888888889,0.7424657534246575,277,4.78,4.89,4.83,4.93,4.91,4.91,4.74,0,250,8.756164383561643,0,0,1,0,1,0,0,0,0.7852998164619537,0.862532956782068
157,5,100,100,1,42.35792,-71.06432,2,42,29,2.0,0.0,0.0,0.03333333333333333,0.5780821917808219,239,4.9,4.95,4.95,4.96,4.97,4.97,4.78,1,125,6.947945205479452,0,0,0,1,1,0,0,0,0.1395308440261031,0.3618903263261484
160,4,100,86,0,42.33765,-71.07434,5,51,29,2.0,0.13333333333333333,0.06666666666666667,0.15555555555555556,0.2328767123287671,344,4.83,4.94,4.9,4.91,4.94,4.8,4.74,0,150,8.345205479452055,0,0,1,0,1,0,0,0,1.3001954125559385,1.0512420771848343
